ts_index,qs_index,u,q
0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e-02,-6.9938307727275301e-02
0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000001e-01,4.1707971999639021e-01
0.0000000000000000e+00,0.0000000000000000e+00,5.0000000000000000e-01,6.9314718055994529e-01
0.0000000000000000e+00,0.0000000000000000e+00,8.0000000000000004e-01,9.6921464112350053e-01
0.0000000000000000e+00,0.0000000000000000e+00,9.8999999999999999e-01,1.4562326688471658e+00
0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e-02,-4.1126396092597378e-01
0.0000000000000000e+00,1.0000000000000000e+00,2.0000000000000001e-01,2.9359564416202683e-01
0.0000000000000000e+00,1.0000000000000000e+00,5.0000000000000000e-01,6.9314718055994529e-01
0.0000000000000000e+00,1.0000000000000000e+00,8.0000000000000004e-01,1.0926987169578639e+00
0.0000000000000000e+00,1.0000000000000000e+00,9.8999999999999999e-01,1.7975583220458642e+00
0.0000000000000000e+00,2.0000000000000000e+00,1.0000000000000000e-02,-9.5739197988393671e-02
0.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000001e-01,4.0774552826558780e-01
0.0000000000000000e+00,2.0000000000000000e+00,5.0000000000000000e-01,6.9314718055994529e-01
0.0000000000000000e+00,2.0000000000000000e+00,8.0000000000000004e-01,9.7854883285430294e-01
0.0000000000000000e+00,2.0000000000000000e+00,9.8999999999999999e-01,1.4820335591082843e+00
