ts_index,qs_index,u,q
0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e-02,9.5734693592171567e+00
0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000001e-01,1.0402129864364900e+01
0.0000000000000000e+00,0.0000000000000000e+00,5.0000000000000000e-01,1.0871858269275720e+01
0.0000000000000000e+00,0.0000000000000000e+00,8.0000000000000004e-01,1.1341586674186539e+01
0.0000000000000000e+00,0.0000000000000000e+00,9.8999999999999999e-01,1.2170247179334282e+01
0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e-02,9.6422964141108025e+00
0.0000000000000000e+00,1.0000000000000000e+00,2.0000000000000001e-01,1.0470956919258546e+01
0.0000000000000000e+00,1.0000000000000000e+00,5.0000000000000000e-01,1.0940685324169365e+01
0.0000000000000000e+00,1.0000000000000000e+00,8.0000000000000004e-01,1.1410413729080185e+01
0.0000000000000000e+00,1.0000000000000000e+00,9.8999999999999999e-01,1.2239074234227928e+01
0.0000000000000000e+00,2.0000000000000000e+00,1.0000000000000000e-02,9.3086663403653951e+00
0.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000001e-01,1.0137326845513138e+01
0.0000000000000000e+00,2.0000000000000000e+00,5.0000000000000000e-01,1.0607055250423958e+01
0.0000000000000000e+00,2.0000000000000000e+00,8.0000000000000004e-01,1.1076783655334777e+01
0.0000000000000000e+00,2.0000000000000000e+00,9.8999999999999999e-01,1.1905444160482521e+01
0.0000000000000000e+00,3.0000000000000000e+00,1.0000000000000000e-02,9.2903144527112307e+00
0.0000000000000000e+00,3.0000000000000000e+00,2.0000000000000001e-01,1.0118974957858974e+01
0.0000000000000000e+00,3.0000000000000000e+00,5.0000000000000000e-01,1.0588703362769794e+01
0.0000000000000000e+00,3.0000000000000000e+00,8.0000000000000004e-01,1.1058431767680613e+01
0.0000000000000000e+00,3.0000000000000000e+00,9.8999999999999999e-01,1.1887092272828356e+01
0.0000000000000000e+00,4.0000000000000000e+00,1.0000000000000000e-02,9.2763835761803755e+00
0.0000000000000000e+00,4.0000000000000000e+00,2.0000000000000001e-01,1.0105044081328119e+01
0.0000000000000000e+00,4.0000000000000000e+00,5.0000000000000000e-01,1.0574772486238938e+01
0.0000000000000000e+00,4.0000000000000000e+00,8.0000000000000004e-01,1.1044500891149758e+01
0.0000000000000000e+00,4.0000000000000000e+00,9.8999999999999999e-01,1.1873161396297501e+01
0.0000000000000000e+00,5.0000000000000000e+00,1.0000000000000000e-02,9.2500267457669079e+00
0.0000000000000000e+00,5.0000000000000000e+00,2.0000000000000001e-01,1.0078687250914651e+01
0.0000000000000000e+00,5.0000000000000000e+00,5.0000000000000000e-01,1.0548415655825471e+01
0.0000000000000000e+00,5.0000000000000000e+00,8.0000000000000004e-01,1.1018144060736290e+01
0.0000000000000000e+00,5.0000000000000000e+00,9.8999999999999999e-01,1.1846804565884034e+01
0.0000000000000000e+00,6.0000000000000000e+00,1.0000000000000000e-02,9.3756928571710194e+00
0.0000000000000000e+00,6.0000000000000000e+00,2.0000000000000001e-01,1.0204353362318763e+01
0.0000000000000000e+00,6.0000000000000000e+00,5.0000000000000000e-01,1.0674081767229582e+01
0.0000000000000000e+00,6.0000000000000000e+00,8.0000000000000004e-01,1.1143810172140402e+01
0.0000000000000000e+00,6.0000000000000000e+00,9.8999999999999999e-01,1.1972470677288145e+01
0.0000000000000000e+00,7.0000000000000000e+00,1.0000000000000000e-02,9.6054481515491918e+00
0.0000000000000000e+00,7.0000000000000000e+00,2.0000000000000001e-01,1.0456663891230212e+01
0.0000000000000000e+00,7.0000000000000000e+00,5.0000000000000000e-01,1.0939177790651616e+01
0.0000000000000000e+00,7.0000000000000000e+00,8.0000000000000004e-01,1.1421691690073020e+01
0.0000000000000000e+00,7.0000000000000000e+00,9.8999999999999999e-01,1.2272907429754040e+01
0.0000000000000000e+00,8.0000000000000000e+00,1.0000000000000000e-02,9.5603580257489984e+00
0.0000000000000000e+00,8.0000000000000000e+00,2.0000000000000001e-01,1.0411573765430019e+01
0.0000000000000000e+00,8.0000000000000000e+00,5.0000000000000000e-01,1.0894087664851423e+01
0.0000000000000000e+00,8.0000000000000000e+00,8.0000000000000004e-01,1.1376601564272827e+01
0.0000000000000000e+00,8.0000000000000000e+00,9.8999999999999999e-01,1.2227817303953847e+01
0.0000000000000000e+00,9.0000000000000000e+00,1.0000000000000000e-02,9.3218341615229363e+00
0.0000000000000000e+00,9.0000000000000000e+00,2.0000000000000001e-01,1.0173049901203957e+01
0.0000000000000000e+00,9.0000000000000000e+00,5.0000000000000000e-01,1.0655563800625361e+01
0.0000000000000000e+00,9.0000000000000000e+00,8.0000000000000004e-01,1.1138077700046765e+01
0.0000000000000000e+00,9.0000000000000000e+00,9.8999999999999999e-01,1.1989293439727785e+01
0.0000000000000000e+00,1.0000000000000000e+01,1.0000000000000000e-02,9.2393805489466914e+00
0.0000000000000000e+00,1.0000000000000000e+01,2.0000000000000001e-01,1.0090596288627712e+01
0.0000000000000000e+00,1.0000000000000000e+01,5.0000000000000000e-01,1.0573110188049116e+01
0.0000000000000000e+00,1.0000000000000000e+01,8.0000000000000004e-01,1.1055624087470520e+01
0.0000000000000000e+00,1.0000000000000000e+01,9.8999999999999999e-01,1.1906839827151540e+01
0.0000000000000000e+00,1.1000000000000000e+01,1.0000000000000000e-02,9.1349012534092822e+00
0.0000000000000000e+00,1.1000000000000000e+01,2.0000000000000001e-01,9.9861169930903024e+00
0.0000000000000000e+00,1.1000000000000000e+01,5.0000000000000000e-01,1.0468630892511706e+01
0.0000000000000000e+00,1.1000000000000000e+01,8.0000000000000004e-01,1.0951144791933110e+01
0.0000000000000000e+00,1.1000000000000000e+01,9.8999999999999999e-01,1.1802360531614131e+01
0.0000000000000000e+00,1.2000000000000000e+01,1.0000000000000000e-02,9.1991662530266414e+00
0.0000000000000000e+00,1.2000000000000000e+01,2.0000000000000001e-01,1.0050381992707662e+01
0.0000000000000000e+00,1.2000000000000000e+01,5.0000000000000000e-01,1.0532895892129066e+01
0.0000000000000000e+00,1.2000000000000000e+01,8.0000000000000004e-01,1.1015409791550470e+01
0.0000000000000000e+00,1.2000000000000000e+01,9.8999999999999999e-01,1.1866625531231490e+01
0.0000000000000000e+00,1.3000000000000000e+01,1.0000000000000000e-02,9.3066827163395374e+00
0.0000000000000000e+00,1.3000000000000000e+01,2.0000000000000001e-01,1.0157898456020558e+01
0.0000000000000000e+00,1.3000000000000000e+01,5.0000000000000000e-01,1.0640412355441962e+01
0.0000000000000000e+00,1.3000000000000000e+01,8.0000000000000004e-01,1.1122926254863366e+01
0.0000000000000000e+00,1.3000000000000000e+01,9.8999999999999999e-01,1.1974141994544386e+01
0.0000000000000000e+00,1.4000000000000000e+01,1.0000000000000000e-02,9.4503267476364634e+00
0.0000000000000000e+00,1.4000000000000000e+01,2.0000000000000001e-01,1.0303095888527347e+01
0.0000000000000000e+00,1.4000000000000000e+01,5.0000000000000000e-01,1.0786490337544109e+01
0.0000000000000000e+00,1.4000000000000000e+01,8.0000000000000004e-01,1.1269884786560871e+01
0.0000000000000000e+00,1.4000000000000000e+01,9.8999999999999999e-01,1.2122653927451754e+01
0.0000000000000000e+00,1.5000000000000000e+01,1.0000000000000000e-02,9.5159076196989005e+00
0.0000000000000000e+00,1.5000000000000000e+01,2.0000000000000001e-01,1.0368676760589784e+01
0.0000000000000000e+00,1.5000000000000000e+01,5.0000000000000000e-01,1.0852071209606546e+01
0.0000000000000000e+00,1.5000000000000000e+01,8.0000000000000004e-01,1.1335465658623308e+01
0.0000000000000000e+00,1.5000000000000000e+01,9.8999999999999999e-01,1.2188234799514191e+01
0.0000000000000000e+00,1.6000000000000000e+01,1.0000000000000000e-02,9.2107555509424959e+00
0.0000000000000000e+00,1.6000000000000000e+01,2.0000000000000001e-01,1.0063524691833379e+01
0.0000000000000000e+00,1.6000000000000000e+01,5.0000000000000000e-01,1.0546919140850141e+01
0.0000000000000000e+00,1.6000000000000000e+01,8.0000000000000004e-01,1.1030313589866903e+01
0.0000000000000000e+00,1.6000000000000000e+01,9.8999999999999999e-01,1.1883082730757787e+01
0.0000000000000000e+00,1.7000000000000000e+01,1.0000000000000000e-02,9.1978241652877770e+00
0.0000000000000000e+00,1.7000000000000000e+01,2.0000000000000001e-01,1.0050593306178660e+01
0.0000000000000000e+00,1.7000000000000000e+01,5.0000000000000000e-01,1.0533987755195422e+01
0.0000000000000000e+00,1.7000000000000000e+01,8.0000000000000004e-01,1.1017382204212185e+01
0.0000000000000000e+00,1.7000000000000000e+01,9.8999999999999999e-01,1.1870151345103068e+01
0.0000000000000000e+00,1.8000000000000000e+01,1.0000000000000000e-02,9.1367203357522531e+00
0.0000000000000000e+00,1.8000000000000000e+01,2.0000000000000001e-01,9.9894894766431364e+00
0.0000000000000000e+00,1.8000000000000000e+01,5.0000000000000000e-01,1.0472883925659898e+01
0.0000000000000000e+00,1.8000000000000000e+01,8.0000000000000004e-01,1.0956278374676661e+01
0.0000000000000000e+00,1.8000000000000000e+01,9.8999999999999999e-01,1.1809047515567544e+01
0.0000000000000000e+00,1.9000000000000000e+01,1.0000000000000000e-02,9.1279107076039470e+00
0.0000000000000000e+00,1.9000000000000000e+01,2.0000000000000001e-01,9.9806798484948303e+00
0.0000000000000000e+00,1.9000000000000000e+01,5.0000000000000000e-01,1.0464074297511592e+01
