ts_index,lag_index,sigma
2.0000000000000000e+00,1.0000000000000000e+00,5.4719767280596676e-01
2.0000000000000000e+00,2.0000000000000000e+00,5.5563447758181184e-01
2.0000000000000000e+00,3.0000000000000000e+00,5.5415807886581891e-01
2.0000000000000000e+00,4.0000000000000000e+00,5.4475484363119187e-01
2.0000000000000000e+00,5.0000000000000000e+00,5.5243656227221427e-01
2.0000000000000000e+00,6.0000000000000000e+00,5.6539067216575412e-01
2.0000000000000000e+00,7.0000000000000000e+00,5.7157982530924745e-01
2.0000000000000000e+00,8.0000000000000000e+00,5.6216855840356861e-01
2.0000000000000000e+00,9.0000000000000000e+00,5.5927337640316188e-01
2.0000000000000000e+00,1.0000000000000000e+01,5.6936744022387942e-01
2.0000000000000000e+00,1.1000000000000000e+01,5.7806051687002946e-01
2.0000000000000000e+00,1.2000000000000000e+01,5.7228869341065947e-01
2.0000000000000000e+00,1.3000000000000000e+01,5.6567617547840987e-01
2.0000000000000000e+00,1.4000000000000000e+01,5.7379515318720964e-01
2.0000000000000000e+00,1.5000000000000000e+01,5.5557654430685133e-01
2.0000000000000000e+00,1.6000000000000000e+01,5.4619073248056504e-01
2.0000000000000000e+00,1.7000000000000000e+01,5.4448559070780100e-01
2.0000000000000000e+00,1.8000000000000000e+01,5.4914510239018199e-01
2.0000000000000000e+00,1.9000000000000000e+01,5.5856393609605626e-01
2.0000000000000000e+00,2.0000000000000000e+01,5.5953697448698436e-01
2.0000000000000000e+00,2.1000000000000000e+01,5.5166528541566784e-01
2.0000000000000000e+00,2.2000000000000000e+01,5.5037129104139737e-01
2.0000000000000000e+00,2.3000000000000000e+01,5.5863446627085445e-01
2.0000000000000000e+00,2.4000000000000000e+01,5.6467488060688875e-01
2.0000000000000000e+00,2.5000000000000000e+01,5.6589032538772388e-01
2.0000000000000000e+00,2.6000000000000000e+01,5.5300078721934376e-01
2.0000000000000000e+00,2.7000000000000000e+01,5.6138782382338093e-01
2.0000000000000000e+00,2.8000000000000000e+01,5.7069145608431060e-01
2.0000000000000000e+00,2.9000000000000000e+01,5.7063286771604793e-01
2.0000000000000000e+00,3.0000000000000000e+01,5.5772425859417463e-01
2.0000000000000000e+00,3.1000000000000000e+01,5.6133616137394804e-01
2.0000000000000000e+00,3.2000000000000000e+01,5.7274803225513793e-01
2.0000000000000000e+00,3.3000000000000000e+01,5.7160322228076610e-01
2.0000000000000000e+00,3.4000000000000000e+01,5.7024226368050657e-01
2.0000000000000000e+00,3.5000000000000000e+01,5.6159528826476657e-01
2.0000000000000000e+00,3.6000000000000000e+01,5.7236730823559412e-01
2.0000000000000000e+00,3.7000000000000000e+01,5.7485283245512919e-01
2.0000000000000000e+00,3.8000000000000000e+01,5.7795036656177723e-01
2.0000000000000000e+00,3.9000000000000000e+01,5.6734042723405487e-01
2.0000000000000000e+00,4.0000000000000000e+01,5.7482513954514647e-01
2.0000000000000000e+00,4.1000000000000000e+01,5.8324476231198130e-01
2.0000000000000000e+00,4.2000000000000000e+01,5.8196427621668878e-01
2.0000000000000000e+00,4.3000000000000000e+01,5.7105689393276127e-01
2.0000000000000000e+00,4.4000000000000000e+01,5.7127580442691894e-01
2.0000000000000000e+00,4.5000000000000000e+01,5.8699632314000871e-01
2.0000000000000000e+00,4.6000000000000000e+01,5.8405295851744099e-01
2.0000000000000000e+00,4.7000000000000000e+01,5.7455126960144987e-01
2.0000000000000000e+00,4.8000000000000000e+01,5.3253598527169854e-01
2.0000000000000000e+00,4.9000000000000000e+01,5.4526896146095827e-01
2.0000000000000000e+00,5.0000000000000000e+01,5.4664251776973760e-01
2.0000000000000000e+00,5.1000000000000000e+01,5.4774591931137773e-01
2.0000000000000000e+00,5.2000000000000000e+01,5.4530163597815817e-01
2.0000000000000000e+00,5.3000000000000000e+01,5.4905232310277530e-01
2.0000000000000000e+00,5.4000000000000000e+01,5.5692424318202094e-01
2.0000000000000000e+00,5.5000000000000000e+01,5.5460930058116742e-01
2.0000000000000000e+00,5.6000000000000000e+01,5.4043738866439539e-01
2.0000000000000000e+00,5.7000000000000000e+01,5.4894028061269284e-01
2.0000000000000000e+00,5.8000000000000000e+01,5.5834718506750181e-01
2.0000000000000000e+00,5.9000000000000000e+01,5.6804266889260147e-01
2.0000000000000000e+00,6.0000000000000000e+01,5.5995362937713766e-01
2.0000000000000000e+00,6.1000000000000000e+01,5.5712730668122390e-01
2.0000000000000000e+00,6.2000000000000000e+01,5.6577719666415871e-01
2.0000000000000000e+00,6.3000000000000000e+01,5.7366077369793267e-01
2.0000000000000000e+00,6.4000000000000000e+01,5.7321322158742183e-01
2.0000000000000000e+00,6.5000000000000000e+01,5.6590320955515783e-01
2.0000000000000000e+00,6.6000000000000000e+01,5.7273944228693674e-01
2.0000000000000000e+00,6.7000000000000000e+01,5.5533332296254934e-01
2.0000000000000000e+00,6.8000000000000000e+01,5.5570961656043338e-01
2.0000000000000000e+00,6.9000000000000000e+01,5.4434227468693841e-01
2.0000000000000000e+00,7.0000000000000000e+01,5.4944278368775090e-01
2.0000000000000000e+00,7.1000000000000000e+01,5.6052061892383609e-01
2.0000000000000000e+00,7.2000000000000000e+01,5.5988257187080304e-01
2.0000000000000000e+00,7.3000000000000000e+01,5.6169027039810115e-01
2.0000000000000000e+00,7.4000000000000000e+01,5.4766561416204229e-01
2.0000000000000000e+00,7.5000000000000000e+01,5.5997176117294079e-01
2.0000000000000000e+00,7.6000000000000000e+01,5.6757855826803727e-01
2.0000000000000000e+00,7.7000000000000000e+01,5.6570596803770279e-01
2.0000000000000000e+00,7.8000000000000000e+01,5.5628121879600267e-01
2.0000000000000000e+00,7.9000000000000000e+01,5.6558599758736228e-01
2.0000000000000000e+00,8.0000000000000000e+01,5.7073921857340648e-01
2.0000000000000000e+00,8.1000000000000000e+01,5.7313693015184464e-01
2.0000000000000000e+00,8.2000000000000000e+01,5.6215754514008009e-01
2.0000000000000000e+00,8.3000000000000000e+01,5.6033852441713772e-01
2.0000000000000000e+00,8.4000000000000000e+01,5.7071626838885670e-01
2.0000000000000000e+00,8.5000000000000000e+01,5.7628557325316532e-01
2.0000000000000000e+00,8.6000000000000000e+01,5.6972487234925007e-01
2.0000000000000000e+00,8.7000000000000000e+01,5.6493665412357497e-01
2.0000000000000000e+00,8.8000000000000000e+01,5.7238731405247689e-01
2.0000000000000000e+00,8.9000000000000000e+01,5.8372842751151455e-01
2.0000000000000000e+00,9.0000000000000000e+01,5.7784728564987653e-01
2.0000000000000000e+00,9.1000000000000000e+01,5.6978503865322483e-01
2.0000000000000000e+00,9.2000000000000000e+01,5.7254714424468212e-01
2.0000000000000000e+00,9.3000000000000000e+01,5.8799349260493106e-01
2.0000000000000000e+00,9.4000000000000000e+01,5.8290396050128346e-01
2.0000000000000000e+00,9.5000000000000000e+01,5.7832990247728189e-01
2.0000000000000000e+00,9.6000000000000000e+01,5.7710403542258881e-01
2.0000000000000000e+00,9.7000000000000000e+01,5.8553321278295634e-01
2.0000000000000000e+00,9.8000000000000000e+01,5.8898668786144714e-01
2.0000000000000000e+00,9.9000000000000000e+01,5.8716129528588157e-01
2.0000000000000000e+00,1.0000000000000000e+02,5.3175252535971618e-01
2.0000000000000000e+00,1.0100000000000000e+02,5.3759992134785173e-01
2.0000000000000000e+00,1.0200000000000000e+02,5.4659991072497338e-01
2.0000000000000000e+00,1.0300000000000000e+02,5.5063716811494223e-01
2.0000000000000000e+00,1.0400000000000000e+02,5.4321643074084558e-01
2.0000000000000000e+00,1.0500000000000000e+02,5.4503665336685669e-01
2.0000000000000000e+00,1.0600000000000000e+02,5.5456698453401843e-01
2.0000000000000000e+00,1.0700000000000000e+02,5.5735369901677612e-01
2.0000000000000000e+00,1.0800000000000000e+02,5.4383423352543703e-01
2.0000000000000000e+00,1.0900000000000000e+02,5.5257177988612538e-01
2.0000000000000000e+00,1.1000000000000000e+02,5.6309318386213947e-01
2.0000000000000000e+00,1.1100000000000000e+02,5.6955500390372460e-01
2.0000000000000000e+00,1.1200000000000000e+02,5.6723887836978804e-01
2.0000000000000000e+00,1.1300000000000000e+02,5.6106187550275100e-01
2.0000000000000000e+00,1.1400000000000000e+02,5.6937936603352957e-01
2.0000000000000000e+00,1.1500000000000000e+02,5.8164060264363660e-01
2.0000000000000000e+00,1.1600000000000000e+02,5.7780942678147040e-01
2.0000000000000000e+00,1.1700000000000000e+02,5.6677081089480696e-01
2.0000000000000000e+00,1.1800000000000000e+02,5.7315348679067946e-01
2.0000000000000000e+00,1.1900000000000000e+02,5.5365323086728568e-01
2.0000000000000000e+00,1.2000000000000000e+02,5.5461381713312086e-01
2.0000000000000000e+00,1.2100000000000000e+02,5.4641138781885878e-01
2.0000000000000000e+00,1.2200000000000000e+02,5.4709580626294751e-01
2.0000000000000000e+00,1.2300000000000000e+02,5.5555623274166710e-01
2.0000000000000000e+00,1.2400000000000000e+02,5.6127685159173246e-01
2.0000000000000000e+00,1.2500000000000000e+02,5.5880693020042271e-01
2.0000000000000000e+00,1.2600000000000000e+02,5.4832485158591804e-01
2.0000000000000000e+00,1.2700000000000000e+02,5.5793933341374113e-01
2.0000000000000000e+00,1.2800000000000000e+02,5.6733336605079854e-01
2.0000000000000000e+00,1.2900000000000000e+02,5.6162288547579287e-01
2.0000000000000000e+00,1.3000000000000000e+02,5.5519840473329762e-01
2.0000000000000000e+00,1.3100000000000000e+02,5.5521760866035286e-01
2.0000000000000000e+00,1.3200000000000000e+02,5.7042231820696876e-01
2.0000000000000000e+00,1.3300000000000000e+02,5.7236340710475098e-01
2.0000000000000000e+00,1.3400000000000000e+02,5.6477603405729804e-01
2.0000000000000000e+00,1.3500000000000000e+02,5.6178070770089261e-01
2.0000000000000000e+00,1.3600000000000000e+02,5.6673310098284235e-01
2.0000000000000000e+00,1.3700000000000000e+02,5.6834874015683712e-01
2.0000000000000000e+00,1.3800000000000000e+02,5.7125644493283378e-01
2.0000000000000000e+00,1.3900000000000000e+02,5.6368266872086559e-01
2.0000000000000000e+00,1.4000000000000000e+02,5.6948722817545383e-01
2.0000000000000000e+00,1.4100000000000000e+02,5.7896705208821375e-01
